"name","value"
"a1",2.7417368516678
"a2",1.85827342924239
"a3",0.161163594914844
"b0",1
"b1",-1.69107499948807
"b2",0.0856060699524467
"sig",0.0230633134573771
"ma0",0.0230633134573771
"ma1",-0.0390017927931273
"ma2",0.00197435962516743
