series,model,loglik,n_params,AIC,BIC,delta_AIC
temperature_ou_driver,Gaussian,-36412.15105691917,2,72828.30211383833,72844.65524078353,4097.47135440963
temperature_ou_driver,NIG,-34361.41537971435,4,68730.8307594287,68763.5370133191,0.0
price_ou_driver,Gaussian,-37161.78665821445,2,74327.5733164289,74343.92644337409,14286.65157845468
price_ou_driver,NIG,-30016.46086898711,4,60040.92173797422,60073.62799186461,0.0
price_ou_driver,Merton_threshold,-30771.001437888863,4,61550.002875777725,61582.70912966812,1509.0811378035069
price_ou_idiosyncratic_driver,Gaussian,-37160.97407884973,2,74325.94815769946,74342.30128464465,14300.118532835695
price_ou_idiosyncratic_driver,NIG,-30008.91481243188,4,60025.82962486376,60058.535878754155,0.0
price_ou_idiosyncratic_driver,Merton_threshold,-30764.513356998767,4,61537.02671399753,61569.732967887925,1511.1970891337696
