,loglik,n_lambda,sigma_J,k_fixed_margins,AIC_fixed_margins,k_full_count,AIC_full_count,RMSE_price,MAE_price,R2_price
constant_lambda,-23765.609088540004,1,0.7599528206635434,2,47535.21817708001,14,47559.21817708001,0.012308312217405852,0.007395018755613442,0.8656901963271629
month_year_lambda,-23765.121445058172,36,0.7599355947863208,37,47604.242890116344,49,47628.242890116344,0.01237506885664773,0.00747752334633009,0.8642293322203012
rolling_30d_lambda,-23765.224945322232,1066,0.7599375201842191,1067,49664.449890644464,1079,49688.449890644464,0.01237235975029245,0.007473848021999781,0.8642887705834464
