series,model,loglik,n_params,AIC,BIC,delta_AIC
price_idiosyncratic_driver,Gaussian,-37292.157166459554,2,74588.31433291911,74604.6674598643,13987.430413562222
price_idiosyncratic_driver,NIG,-30296.441959678443,4,60600.883919356886,60633.59017324728,0.0
