series,model,loglik,n_params,AIC,BIC,delta_AIC
price_ou_idiosyncratic_driver,Gaussian,-37160.97407884973,2,74325.94815769946,74342.30128464465,14300.118532835695
price_ou_idiosyncratic_driver,NIG,-30008.91481243188,4,60025.82962486376,60058.535878754155,0.0
price_ou_idiosyncratic_driver,Merton_threshold,-30764.513356998767,4,61537.02671399753,61569.732967887925,1511.1970891337696
