series,model,loglik,n_params,AIC,BIC,delta_AIC
temperature_driver,Gaussian,-45796.94081612916,2,91597.88163225832,91614.23475920351,8265.410389692799
temperature_driver,NIG,-41662.23562128276,4,83332.47124256552,83365.17749645592,0.0
price_marginal_driver,Gaussian,-30075.505783842294,2,60155.01156768459,60171.36469462979,13991.621874247532
price_marginal_driver,NIG,-23077.69484671853,4,46163.38969343706,46196.09594732745,0.0
price_idiosyncratic_driver,Gaussian,-37292.157166459554,2,74588.31433291911,74604.6674598643,13987.430413562222
price_idiosyncratic_driver,NIG,-30296.441959678443,4,60600.883919356886,60633.59017324728,0.0
