datetime,dL_J,dL_X,lambda_dL_T,sigma_J_dL_J
2023-01-01 01:00:00+00:00,-1.8608903911438683,-1.41362205919273,0.0005668425027374419,-1.4141889016954674
2023-01-01 02:00:00+00:00,-0.2856110510474077,-0.216573451771341,0.0004774720848157588,-0.21705092385615676
2023-01-01 03:00:00+00:00,0.02915730789745491,0.0237692456844212,0.001611067304794933,0.02215817837962627
2023-01-01 04:00:00+00:00,-0.21227283067283004,-0.160311061324508,0.0010062750955439196,-0.16131733642005192
2023-01-01 05:00:00+00:00,-0.13868629523621084,-0.108624841608176,-0.003229800356040618,-0.10539504125213538
2023-01-01 06:00:00+00:00,-0.23365037513088127,-0.174539647559177,0.003023614070631251,-0.17756326162980826
2023-01-01 07:00:00+00:00,-0.6686690362239937,-0.50822838330897,-7.146314017297702e-05,-0.5081569201687971
2023-01-01 08:00:00+00:00,-0.42431349746825014,-0.322605634813187,-0.00014739556657700288,-0.32245823924661
2023-01-01 09:00:00+00:00,-0.0304198673732729,-0.0243215324136528,-0.0012038683991231656,-0.023117664014529634
2023-01-01 10:00:00+00:00,-0.11169520169816047,-0.0854636763525454,-0.0005805927674449393,-0.08488308358510045
2023-01-01 11:00:00+00:00,0.023122204556949234,0.0173340286608417,-0.00023775591217131128,0.01757178457301301
2023-01-01 12:00:00+00:00,0.1806373000991895,0.138229227000974,0.0009534012735479693,0.13727582572742603
2023-01-01 13:00:00+00:00,-0.25812388495090427,-0.196159246463274,2.7279857976666895e-06,-0.19616197444907166
2023-01-01 14:00:00+00:00,1.043289111676312,0.793755905062991,0.0009054018770149962,0.7928505031859759
2023-01-01 15:00:00+00:00,0.4047928722911479,0.30540640454966,-0.002217080532495372,0.30762348508215537
2023-01-01 16:00:00+00:00,-0.189344761417767,-0.142962726242798,0.0009303592744996876,-0.14389308551729768
2023-01-01 17:00:00+00:00,0.3044052538651337,0.228456306533993,-0.0028773247656173374,0.23133363129961035
2023-01-01 18:00:00+00:00,0.4266796413443727,0.329331006812509,0.005074609853143889,0.3242563969593651
2023-01-01 19:00:00+00:00,0.2215198750090444,0.170463579419852,0.002118925573693116,0.16834465384615888
2023-01-01 20:00:00+00:00,0.20293647699617828,0.151802110027359,-0.0024200380814089818,0.15422214810876797
2023-01-01 21:00:00+00:00,0.23362675440846653,0.180734281641464,0.0031889706462809243,0.17754531099518306
2023-01-01 22:00:00+00:00,-0.018973373825163564,-0.0146139121362567,-0.00019504318031980463,-0.014418868955936895
2023-01-01 23:00:00+00:00,1.9404426531006271,1.4742372125093,-0.0004076550503714168,1.4746448675596713
2023-01-02 00:00:00+00:00,-1.4141650026257457,-1.07588155614332,-0.001182873514217215,-1.0746986826291027
2023-01-02 01:00:00+00:00,0.2114892507777469,0.162503788793527,0.0017819361249587524,0.16072185266856825
2023-01-02 02:00:00+00:00,-0.24319311710810132,-0.182392183364986,0.0024231119472750513,-0.18481529531226104
2023-01-02 03:00:00+00:00,0.42365784693507735,0.323769955882137,0.0018099801075812073,0.32195997577455576
2023-01-02 04:00:00+00:00,0.9916194485386945,0.755385004257123,0.0018010073153146347,0.7535839969418083
