model,n,mean_v_T,mean_v_X,empirical_E_vT_vX,empirical_centered_cov_v,mean_model_S_TX,raw_cov_error,empirical_corr_v,mean_model_corr
separate_marginals,26280,0.002815490532721999,1.1166313145909219e-06,-0.00020775021211798088,-0.00020775335598287564,0.0,-0.00020775021211798088,-0.02884622761100391,0.0
constant_lambda,26280,0.002821809606253044,-3.983309951876659e-06,-0.00021071980770005782,-0.00021070856755777098,-0.00022164659144511758,1.092678374505976e-05,-0.02924444368331109,-0.0008962182163564862
month_year_lambda,26280,0.0028218028942174032,-1.3322013410566284e-06,-0.0002529727337475649,-0.00025296897453796504,-0.0002155368198597834,-3.74359138877815e-05,-0.03492040601909048,-0.0008715258198983897
rolling_30d_lambda,26280,0.0028218090696806868,3.868133812585134e-06,-0.0002342270887263893,-0.0002342380038614644,-0.00021634515178968288,-1.7881936936706415e-05,-0.032341822486513586,-0.0008747913012821162
