datetime,y,jump_component,y_minus_jump,y_dejumped_interp,is_jump_pos,is_jump_neg,is_jump
2023-01-01 00:00:00+00:00,-0.0263228128535848,0.0,-0.0263228128535848,-0.0263228128535848,0,0,0
2023-01-01 01:00:00+00:00,-0.0242591193594767,0.0,-0.0242591193594767,-0.0242591193594767,0,0,0
2023-01-01 02:00:00+00:00,-0.0246848336533291,0.0,-0.0246848336533291,-0.0246848336533291,0,0,0
2023-01-01 03:00:00+00:00,-0.0231125454809202,0.0,-0.0231125454809202,-0.0231125454809202,0,0,0
2023-01-01 04:00:00+00:00,-0.0247131778417566,0.0,-0.0247131778417566,-0.0247131778417566,0,0,0
2023-01-01 05:00:00+00:00,-0.0245868663181081,0.0,-0.0245868663181081,-0.0245868663181081,0,0,0
2023-01-01 06:00:00+00:00,-0.0255047340365583,0.0,-0.0255047340365583,-0.0255047340365583,0,0,0
2023-01-01 07:00:00+00:00,-0.0319422993236937,0.0,-0.0319422993236937,-0.0319422993236937,0,0,0
2023-01-01 08:00:00+00:00,-0.0343714916797104,0.0,-0.0343714916797104,-0.0343714916797104,0,0,0
2023-01-01 09:00:00+00:00,-0.0319138195423427,0.0,-0.0319138195423427,-0.0319138195423427,0,0,0
2023-01-01 10:00:00+00:00,-0.030978190748292,0.0,-0.030978190748292,-0.030978190748292,0,0,0
2023-01-01 11:00:00+00:00,-0.0280239990305197,0.0,-0.0280239990305197,-0.0280239990305197,0,0,0
2023-01-01 12:00:00+00:00,-0.0232160383660495,0.0,-0.0232160383660495,-0.0232160383660495,0,0,0
2023-01-01 13:00:00+00:00,-0.0245461481426607,0.0,-0.0245461481426607,-0.0245461481426607,0,0,0
2023-01-01 14:00:00+00:00,-0.0083214535744087,0.0,-0.0083214535744087,-0.0083214535744087,0,0,0
2023-01-01 15:00:00+00:00,-0.0029294831591206,0.0,-0.0029294831591206,-0.0029294831591206,0,0,0
2023-01-01 16:00:00+00:00,-0.0046269290501648,0.0,-0.0046269290501648,-0.0046269290501648,0,0,0
2023-01-01 17:00:00+00:00,0.0005740195093819,0.0,0.0005740195093819,0.0005740195093819,0,0,0
2023-01-01 18:00:00+00:00,0.0062728492308128,0.0,0.0062728492308128,0.0062728492308128,0,0,0
2023-01-01 19:00:00+00:00,0.0086808195281413,0.0,0.0086808195281413,0.0086808195281413,0,0,0
2023-01-01 20:00:00+00:00,0.0108246225410386,0.0,0.0108246225410386,0.0108246225410386,0,0,0
2023-01-01 21:00:00+00:00,0.0132232016186568,0.0,0.0132232016186568,0.0132232016186568,0,0,0
2023-01-01 22:00:00+00:00,0.0119495508655127,0.0,0.0119495508655127,0.0119495508655127,0,0,0
2023-01-01 23:00:00+00:00,0.0364946890047592,0.0,0.0364946890047592,0.0364946890047592,0,0,0
2023-01-02 00:00:00+00:00,0.013682778759998,0.0,0.013682778759998,0.013682778759998,0,0,0
2023-01-02 01:00:00+00:00,0.0173799805280809,0.0,0.0173799805280809,0.0173799805280809,0,0,0
2023-01-02 02:00:00+00:00,0.0123457613652346,0.0,0.0123457613652346,0.0123457613652346,0,0,0
2023-01-02 03:00:00+00:00,0.016771469296299,0.0,0.016771469296299,0.016771469296299,0,0,0
2023-01-02 04:00:00+00:00,0.0277123267079737,0.0,0.0277123267079737,0.0277123267079737,0,0,0
2023-01-02 05:00:00+00:00,0.0406054505263506,0.0,0.0406054505263506,0.0406054505263506,0,0,0
2023-01-02 06:00:00+00:00,0.0507001068665369,0.0,0.0507001068665369,0.0507001068665369,0,0,0
