,temp_raw,temp_seas,temp_resid
2026-01-01 00:00:00+00:00,2.35,1.4654999507065318,0.8844999539260365
2026-01-01 01:00:00+00:00,2.9,1.4815409786185967,1.418459116748835
2026-01-01 02:00:00+00:00,2.95,1.459948083806919,1.4900519638767968
2026-01-01 03:00:00+00:00,2.75,1.3419050996091642,1.4080949003908358
2026-01-01 04:00:00+00:00,2.3,1.1198291607704443,1.18017079154584
2026-01-01 05:00:00+00:00,1.65,0.8686595310965515,0.7813404450615906
2026-01-01 06:00:00+00:00,1.5,0.731774559994796,0.768225440005204
2026-01-01 07:00:00+00:00,1.7,0.8607631306202246,0.8392369170634912
2026-01-01 08:00:00+00:00,1.95,1.3364049769679958,0.6135950707157201
2026-01-01 09:00:00+00:00,2.1,2.1125431213539243,-0.012543216721355943
2026-01-01 10:00:00+00:00,2.2,3.015809580181704,-0.8158095324979882
2026-01-01 11:00:00+00:00,2.0,3.806269784412213,-1.8062697844122129
2026-01-01 12:00:00+00:00,2.65,4.272043179685318,-1.6220430843178866
2026-01-01 13:00:00+00:00,2.45,4.312599927065224,-1.8625998793815084
2026-01-01 14:00:00+00:00,2.05,3.9710498934924847,-1.9210499411762005
2026-01-01 15:00:00+00:00,2.25,3.402284858416743,-1.1522848584167429
2026-01-01 16:00:00+00:00,2.25,2.796616668976414,-0.546616668976414
2026-01-01 17:00:00+00:00,2.4,2.299615797768327,0.1003842975991045
2026-01-01 18:00:00+00:00,2.75,1.9671615017677515,0.7828384982322485
2026-01-01 19:00:00+00:00,2.3,1.7722700376979414,0.5277299146183427
2026-01-01 20:00:00+00:00,2.35,1.650668603330216,0.6993313013023523
2026-01-01 21:00:00+00:00,2.5,1.5524363546475564,0.9475636453524436
2026-01-01 22:00:00+00:00,2.15,1.4679993116375445,0.6820007837298872
2026-01-01 23:00:00+00:00,1.8,1.4165426096155738,0.3834573427007104
2026-01-02 00:00:00+00:00,1.65,1.4106206344132892,0.23937934174485287
2026-01-02 01:00:00+00:00,1.65,1.4263488990195987,0.22365107713854337
2026-01-02 02:00:00+00:00,1.75,1.4044828144531867,0.3455171855468133
2026-01-02 03:00:00+00:00,0.85,1.2865622542423751,-0.4365622304005172
2026-01-02 04:00:00+00:00,0.85,1.0653508048713072,-0.21535078102944927
2026-01-02 05:00:00+00:00,1.15,0.8158600176378414,0.33413995852030065
2026-01-02 06:00:00+00:00,1.55,0.6811627860556533,0.8688371662606309
2026-01-02 07:00:00+00:00,1.3,0.8122950249621124,0.4877049273541718
2026-01-02 08:00:00+00:00,1.55,1.2895299417107386,0.26047001060554553
2026-01-02 09:00:00+00:00,1.35,2.066534537803114,-0.716534513961256
2026-01-02 10:00:00+00:00,0.95,2.970194811648596,-2.020194823569525
2026-01-02 11:00:00+00:00,0.95,3.761104809571835,-2.811104821492764
2026-01-02 12:00:00+00:00,2.25,4.2278567515478604,-1.9778567515478604
2026-01-02 13:00:00+00:00,2.5,4.270019599453397,-1.7700195994533967
2026-01-02 14:00:00+00:00,1.95,3.9303102522631974,-1.9803102045794816
2026-01-02 15:00:00+00:00,1.45,3.3628967836479773,-1.9128967359642615
2026-01-02 16:00:00+00:00,1.3,2.7573969621770047,-1.4573970098607205
2026-01-02 17:00:00+00:00,0.9,2.2590814521936595,-1.3590814760355174
2026-01-02 18:00:00+00:00,0.2,1.9240921279922205,-1.7240921250119883
2026-01-02 19:00:00+00:00,0.9,1.726149734004532,-0.8261497578463899
2026-01-02 20:00:00+00:00,0.5,1.6017874054137577,-1.1017874054137577
2026-01-02 21:00:00+00:00,0.1,1.501621464193266,-1.4016214627031498
2026-01-02 22:00:00+00:00,-0.75,1.4161483038558318,-2.166148303855832
2026-01-02 23:00:00+00:00,-0.75,1.3642293973063488,-2.1142293973063486
2026-01-03 00:00:00+00:00,-1.0,1.357985628579429,-2.3579856285794287
2026-01-03 01:00:00+00:00,-1.1,1.3733053379235254,-2.4733053617653833
2026-01-03 02:00:00+00:00,-1.45,1.3510791374575313,-2.801079185141247
2026-01-03 03:00:00+00:00,-1.75,1.2332495044978797,-2.9832495044978797
2026-01-03 04:00:00+00:00,-1.7,1.0129674401400557,-2.7129674878237715
2026-01-03 05:00:00+00:00,-1.55,0.7653252185106971,-2.3153251708269815
2026-01-03 06:00:00+00:00,-0.85,0.6330553674922506,-1.4830553913341085
2026-01-03 07:00:00+00:00,-0.5,0.7665753361665208,-1.2665753361665208
2026-01-03 08:00:00+00:00,-0.55,1.245585988854496,-1.795586000775425
2026-01-03 09:00:00+00:00,-0.3,2.0235435784541798,-2.3235435903751087
2026-01-03 10:00:00+00:00,-0.45,2.927599594209361,-3.377599582288432
2026-01-03 11:00:00+00:00,-0.2,3.7189248931854455,-3.9189248961656777
2026-01-03 12:00:00+00:00,0.85,4.186640515145319,-3.336640491303461
2026-01-03 13:00:00+00:00,0.75,4.230446198250169,-3.480446198250169
2026-01-03 14:00:00+00:00,0.5,3.8926565196160823,-3.3926565196160823
2026-01-03 15:00:00+00:00,-0.05,3.326671761067584,-3.3766717618126423
2026-01-03 16:00:00+00:00,-0.3,2.7213627905705877,-3.0213628024915167
2026-01-03 17:00:00+00:00,-0.45,2.221668982131631,-2.671668970210702
2026-01-03 18:00:00+00:00,-0.25,1.8840016615191222,-2.134001661519122
2026-01-03 19:00:00+00:00,-0.55,1.6828259800603371,-2.232825991981266
2026-01-03 20:00:00+00:00,-0.4,1.5555306183520643,-1.9555306243125288
2026-01-03 21:00:00+00:00,-0.6,1.4533013171947409,-2.053301341036599
2026-01-03 22:00:00+00:00,-1.25,1.3667052638789543,-2.6167052638789543
2026-01-03 23:00:00+00:00,-1.25,1.3142551978872294,-2.5642551978872294
2026-01-04 00:00:00+00:00,-1.1,1.3076105529168052,-2.407610576758663
2026-01-04 01:00:00+00:00,-2.1,1.3224260359399012,-3.4224259405724693
2026-01-04 02:00:00+00:00,-3.25,1.2997528999871573,-4.5497528999871575
2026-01-04 03:00:00+00:00,-4.1,1.1819826706461498,-5.281982575278718
2026-01-04 04:00:00+00:00,-4.55,0.9626946118254083,-5.512694802560271
2026-01-04 05:00:00+00:00,-5.0,0.7170701319426798,-5.7170701319426795
2026-01-04 06:00:00+00:00,-5.15,0.5874665842266522,-5.737466679594084
2026-01-04 07:00:00+00:00,-5.1,0.7236176375880556,-5.823617542220624
2026-01-04 08:00:00+00:00,-4.85,1.2045861662840727,-6.054586070916641
2026-01-04 09:00:00+00:00,-4.35,1.9835830091871114,-6.333582913819679
2026-01-04 10:00:00+00:00,-3.3,2.8880365766508977,-6.1880365289671815
2026-01-04 11:00:00+00:00,-2.0,3.679742561143577,-5.679742561143577
2026-01-04 12:00:00+00:00,-0.4,4.148406711196002,-4.548406717156467
2026-01-04 13:00:00+00:00,-0.65,4.193891478031497,-4.843891454189639
2026-01-04 14:00:00+00:00,-1.0,3.8580998820690606,-4.858099882069061
2026-01-04 15:00:00+00:00,-1.8,3.2936205544120396,-5.093620506728324
2026-01-04 16:00:00+00:00,-2.6,2.6885248614236685,-5.288524766056237
2026-01-04 17:00:00+00:00,-2.75,2.1873895027050754,-4.937389502705075
2026-01-04 18:00:00+00:00,-2.0,1.8469020099344164,-3.8469020099344164
2026-01-04 19:00:00+00:00,-2.05,1.6423116402279958,-3.69231159254428
2026-01-04 20:00:00+00:00,-2.4,1.5119119744383696,-3.911912069805801
2026-01-04 21:00:00+00:00,-2.85,1.407490256527351,-4.25749016115992
2026-01-04 22:00:00+00:00,-3.1,1.3196848668665773,-4.419684771499146
2026-01-04 23:00:00+00:00,-2.95,1.2666348436960762,-4.216634891379792
2026-01-05 00:00:00+00:00,-0.2,1.2595103583882301,-1.4595103613684624
2026-01-05 01:00:00+00:00,-1.9,1.273726093237947,-3.173726069396089
2026-01-05 02:00:00+00:00,-2.6,1.250519334472084,-3.8505192391046523
