,price_raw,price_seas,price_resid
2026-01-01 00:00:00+00:00,6.966033621023877,6.981978883257334,-0.015945262233456603
2026-01-01 01:00:00+00:00,6.943132075282496,6.979465550047011,-0.03633347476451476
2026-01-01 02:00:00+00:00,6.917784814619315,6.976050351502969,-0.058265536883653546
2026-01-01 03:00:00+00:00,6.9122451842549895,6.977352300438532,-0.06510711618354215
2026-01-01 04:00:00+00:00,6.910800637168097,6.98498303724458,-0.07418240007648258
2026-01-01 05:00:00+00:00,6.907765278932137,7.004716777639097,-0.09695149870695996
2026-01-01 06:00:00+00:00,6.90784527493238,7.0264104993892325,-0.11856522445685247
2026-01-01 07:00:00+00:00,6.907795278182158,7.0423878915342,-0.13459261335204165
2026-01-01 08:00:00+00:00,6.907755278982137,7.034925042019272,-0.12716976303713512
2026-01-01 09:00:00+00:00,6.907755278982137,7.025850337860751,-0.11809505887861427
2026-01-01 10:00:00+00:00,6.907755278982137,7.019837889677005,-0.11208261069486802
2026-01-01 11:00:00+00:00,6.907745278932136,7.014738877068582,-0.10699359813644538
2026-01-01 12:00:00+00:00,6.907745278932136,7.013561002493087,-0.10581572356095048
2026-01-01 13:00:00+00:00,6.907745278932136,7.017223691996679,-0.10947841306454276
2026-01-01 14:00:00+00:00,6.90785527398247,7.026069307896337,-0.11821403391386731
2026-01-01 15:00:00+00:00,6.912255139407029,7.034237815432722,-0.12198267602569324
2026-01-01 16:00:00+00:00,6.927636334575286,7.046943435153234,-0.1193071005779478
2026-01-01 17:00:00+00:00,6.935136955723355,7.044018899240968,-0.1088819435176136
2026-01-01 18:00:00+00:00,6.936303862386553,7.03329419182746,-0.09699032944090735
2026-01-01 19:00:00+00:00,6.920207428171375,7.021172220280625,-0.10096479210924958
2026-01-01 20:00:00+00:00,6.9177155107763895,7.0115489186490585,-0.09383340787266903
2026-01-01 21:00:00+00:00,6.922919715501909,7.007875256289104,-0.08495554078719536
2026-01-01 22:00:00+00:00,6.908894629675563,6.996756477507466,-0.08786184783190265
2026-01-01 23:00:00+00:00,6.921411605429623,6.992235181233833,-0.07082357580421039
2026-01-02 00:00:00+00:00,6.914373331283713,6.982588452516124,-0.06821512123241114
2026-01-02 01:00:00+00:00,6.912255139407029,6.980074899876513,-0.0678197604694839
